id,priority,stage,concern,evidence,finding,next_action,completion_criterion,status,author_input
C01,P0,1,Recovery/provenance,V8 source ZIP; bundle notebook cells; original_file_manifest.json,Source and five helpers recovered; cached DB/answer/NumPy state missing,Reconstruct versioned standalone drivers and record all inputs,Fresh process builds a fixture; full claims have result and configuration provenance,In progress,No more archive needed
C02,P0,2,TPC-H unverified discounts,03-qpricing cell 45 execution 248; legacy/tpc_substrate.py::plan_all; full_tpch_runs.csv,verify_limit=8; 1541 positive asset/run cases; 387 verified; at least 1154 unchecked cases,Gate effective prices and metrics on valid witnesses; verify all reported cheaper plans,Every reported exploit has a valid witness; failed/unchecked plans never affect settlement,Candidate gate and small fixture pass; full integration/rerun pending,None now
C03,P1,4,Conflicting verification counters,03-qpricing cell 11 execution 200 and cell 51 execution 255; full_*_runs.csv,3791 successes plus 6 failures = 3797 attempts; old 4651 belongs to earlier campaign,Use explicit attempted/successful/failed/unchecked definitions everywhere,One campaign and one counter definition for each prose number,Resolved historically; future rerun still required,None
C04,P0,3,Demand shift mislabeled generalization,legacy/tpc_experiment.py::buyer_sample; legacy/run_full.py::run,Popularity ranking redrawn for training and testing,Independent buyer streams under fixed demand; separate explicit shift arm,Stationary train/test probabilities equal; same buyers paired across mechanisms,Candidate tests pass; integrate then rerun,None
C05,P0,3,Unequal calibration range,legacy/tpc_experiment.py::fit_scale,Fixed scale ceiling 60; flat value-100 example cannot reach optimum,Use observed-value breakpoints or validated adaptive search,Flat baseline matches uniform-bundle optimum under same ties; no test-data tuning,Candidate tests pass; full integration/rerun pending,None
C06,P0,2,Entropy classes approximated,03-qpricing cell 51 execution 255; legacy/ports.py::qirana_scores,Changed neighbors assumed distinct answers,Construct actual answer-equivalence partitions; measure approximation error,Repeated aggregate outcomes and unchanged answers grouped correctly,Entropy helper test passes; full answer-label construction remains,None
C07,P0,2,Buyer-accessible reconstruction,legacy/sqlshare_lattice.py::try_selection; legacy/stress_oracle.py,Target-answer values participate in candidate selection rules,Freeze admissible buyer programs before auditor verification; distinguish instance-level semantics,Every exploit executable with stated buyer information; bag/NULL/type cases covered,Open,Scientific scope choice if a narrower buyer model is retained
C08,P0,2,Mechanism fidelity and optimization claims,legacy/ports.py; legacy/ports_chawla.py; legacy/tpc_experiment.py::enforce_monotone,Port budgets/substitutions unvalidated; monotone baseline is relaxation,Check published definitions with exact small reference calculations; label heuristics,Each retained construction has a source/implementation/deviation record and passing reference cases,Open,None now
C09,P1,2,SQLShare QueryMarket scope,03-qpricing cell 51 execution 255,105 catalog assets; cheapest single predecessor; arbitrary fallback,Implement justified catalog-cover variant or label substitution; preserve unavailable status,Small exhaustive cover cases agree; coverage and substitutions fully disclosed,Open,None
C10,P1,1,Workload scope and populations,03-qpricing cells 34 and 51; all_markets_structure.csv; legacy/sqlshare_lattice.csv,TPC-H Q1/Q6 only; main SQLShare 222 assets/2017 cleaned pairs; 812/2974 versus older 806/2972,"Reconcile versioned query/asset IDs, attrition, and full versus reduced campaigns",One traceable membership manifest per experiment; descriptions match actual queries,Scopes recovered; population reconciliation open,None
C11,P0,3,Valuation quantity and duplicate families,03-qpricing cells 40 and 51; legacy/market_run.py; all_markets_runs.csv,Full answer_cells uses ones for ncols; reduced two families exactly duplicate 270 row pairs,Measure row times column counts and real/proxy support explicitly; remove duplicate conditions,Distinct family vectors measured or explicitly collapsed; no pseudo-replication,Confirmed; rerun needed,None
C12,P0,2,Support sampler seed and duplicate bias,03-qpricing cell 8 execution 197,SQL row sample ignores NumPy seed; duplicate-valued rows skipped,"Stable row IDs, explicit table probabilities, persisted draws, error/attempt counters",Seeded draws reproducible on defined snapshot; duplicates/NULLs eligible; correct denominator,Candidate fixed-snapshot deletion tests pass; production sampler open,None
C13,P1,2,Unsupported printed zero audit,03-qpricing cell 39 execution 239,TPC-H falsification expression contains if False,Run actual containment and semantic checks; distinguish false edges from mechanism defects,Zero claim derived from executed checks with denominator and witnesses,Open,None
C14,P1,4,SD/maxima and uncertainty labels,validation/historical_across_market_reporting.csv; validation/historical_arbitrage_reporting.csv,Pooled SD mislabeled across-market; mean maxima mislabeled global; small positive rates rounded away,"Average within market then summarize; show paired effects, counts, global and mean maxima separately",Numbers and uncertainty units match formulas; no false displayed zero,Historical reporting regenerated; new results pending,None
C15,P1,5,"Generality, ablations, efficiency",full_*_runs.csv; all_markets_runs.csv; recovered sampling cells,Main experiment one real market; reduced 15-market protocol; sampling single path,"Pilot then targeted shifts, support draws, fidelity ablations, market extension, scaling",Each retained contribution has direct evidence; runtime/memory/timeout outcomes recorded,Pilot fixture only; scientific campaign pending,Compute/deadline if needed after resource pilot
C16,P1,6,Overgeneralized conclusions and lessons,"V8 abstract, results, discussion; disaggregated full_sqlshare_runs.csv",Aggregate welfare finding does not hold for every family; zero-price markets need interpretation,"Rewrite claims from corrected evidence, expose counterexamples and negative results",No universal claim contradicted by scoped results; actionable limits stated,Open pending corrected results,Interpretive review at manuscript stage
C17,P2,7,Manuscript structural/format issues,manuscript/tools/make_tables.py; manuscript/sections/02_related_work.tex; validation/main.log,Fidelity cells truncated; missing sec:protocol; stale metadata; local acmart missing,Fail-loud full-text generators; correct references/captions/template; compile and inspect,"No missing refs, clipped text or overflows; source/PDF and venue requirements agree",Diagnosed; final manuscript build pending,Personal declarations at final review
C18,P1,7,Reproducibility artifact and publication,bundle run.sh; notebook globals; candidate and legacy separation,Notebook replay is stateful; historical caches absent; full clean rebuild not demonstrated,"Pinned drivers and acquisition path; manifests, witnesses, quick/full commands; independent clean run",Critical figures and tables rebuild with logged resources and documented failures,Recovery checkpoint complete; submission artifact not complete,Confirm eventual artifact-release and submission statements
